"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Atardecer / Sunset (GATOS GUERREROS / WARRIORS) (Spanish Edition)","Hunter, Erin","Salamandra Infantil y Juvenil","2017-07-15","Tapa blanda","300","Warriors: The New Prophecy","","Spanish","9788498387858","300","https://www.amazon.com/dp/849838785X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51845nQHlkL._SL500_.jpg","Poco después de la llegada a su nuevo hogar en el lago, Hojarasca Acuática recibe una profecía ominosa del Clan Estelar: «Antes de que haya paz, la sangre derramará sangre y el lago se tornará rojo.» A medida que el clan se recupera del ataque devastador de los tejones, Hojarasca Acuática no puede dejar de preguntarse: ¿significan sus sueños que lo peor está por llegar? Al mismo tiempo, las sombras del pasado continúan acechando por el bosque, y mientras algunos viejos amigos intentan encontrar su lugar, otros parecen haberse perdido para siempre. En el bosque oscuro una figura acosa a Zarzoso en una peligrosa búsqueda de venganza, y el joven deberá luchar por mantenerse fiel a su clan. Un siniestro camino empieza a trazarse, y ha llegado el momento de que ciertos guerreros tomen las decisiones que determinarán su destino... y el de todos los clanes.","","16.95","Fantasy","4.38","05/10/2025","","Sí","","","","","","Estante A"
"BIBLIA REINA-VALERA 1960 (Spanish Edition)","Various","Centros de Literatura Crist","","Tapa blanda","128","","","es","9788480833509","","https://www.goodreads.com/book/show/48743537-biblia-reina-valera-1960","","","https://books.google.com/books/content?id=8LtCS9IHk9MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","0","05/10/2025","","","","","","","","Estante A"
"Borges en Pichincha y otras memorias de un oficio perdido (Serie El diario trajín) (Spanish Edition)","Ortiz, Alberto C. Vila","","","Tapa blanda","","","","","","","https://www.goodreads.com/book/show/114596043-borges-en-pichincha-y-otras-memorias-de-un-oficio-perdido-serie-el-diar","","","","","","","","0","05/15/2025","","","","","","","","Estante C"
"Caballo de fuego París 2","Bonelli, Florencia","Suma De Letras","2012","Tapa blanda","","","","","9789870424994","","","/Pictures/Icons/9789870424994_5.jpg","/Pictures/Photos/9789870424994_5.jpg","","","","","","","05/14/2025","","","","","","","","Estante A"
"Cambiar Para Crecer (Spanish Edition)","Carlos, Shapira","Sudamericana","1998-01-01","Tapa blanda","","","","Spanish","9789500713887","","https://www.amazon.com/dp/9500713888?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/415NVg8ThgL._SL500_.jpg","","","351.9","Literature & Fiction","0","05/14/2025","","","","","","","","Estante A"
"Cecil-Loeb Textbook of Medicine","Cecil, Russell L.; Loeb, Robert F.","Saunders: 9th, Ninth Edition","1955","Tapa dura","1786","","","English","9780721616599","","https://www.amazon.com/dp/0721616593?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41TQzUvd+EL._SL500_.jpg","","","24.99","Medical","","05/14/2025","","","","","","","","Estante A"
"Cellet 32GB Karbonn KT81 Cosmos Micro SDHC Card is Custom Formatted for Digital high Speed, Lossless Recording! Includes Standard SD Adapter.","Kane, Ben","Cellet","2016-11-10","Tapa blanda","448","Eagles of Rome","","Spanish","9789876278638","","https://www.amazon.com/dp/9876278630?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/31s4lWlfkFL._SL500_.jpg","Año 15 d. C. El jefe Arminio ha sido derrotado, una de las águilas romanas recuperadas y miles de guerreros de las tribus de Germania masacrados. Sin embargo, para el centurión Lucius Tullus estas victorias no son, ni mucho menos, suficientes. No descansará hasta que el propio Arminio muera, el águila de su legión sea recuperada y las tribus enemigas totalmente exterminadas. Por su parte, Arminio, taimado y valiente, también busca venganza. Más carismático que nunca, consigue reunir otro gran ejército tribal que acosará a los romanos a lo largo y ancho de sus territorios. Muy pronto, Tullus se encuentra en un hervidero de violencia, traiciones y peligros. La crítica ha dicho... «Emocionante y llena de detalles históricos y militares, una trilogía soberbia, un auténtico éxito.» Sunday Express «Empapada en la sangre, el sudor y las lágrimas de su época, esta es una excelente combinación de historia y acción.» Historical Novel Society'","","44.72","Subjects","4.41","05/14/2025","","","","","","","","Estante A"
"Comercio exterior y técnicas de negociaciones económicas internacionales: Textos y casos (Spanish Edition)","Colaiacovo, Juan Luis","Ediciones del Río","1983","Tapa blanda","253","","","Spanish","","","https://www.amazon.com/dp/9509270016?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://books.google.com/books/content?id=MJFWN8qHloUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","208.85","Economics","0","05/14/2025","","","","","","","","Estante A"
"como alcanzar la sabiduria","Tagore, Rabindranath","LUMEN","2013","Tapa blanda","40","","","Spanish","9789507244513","40","https://www.amazon.com/dp/9507244514?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41gbYJwqRzL._SL500_.jpg","","","11.61","Subjects","0","05/10/2025","","Sí","","","","","","Estante A"
"Consorcios de Exportación","otros., Ledesma C. - Liliana E. Gnazzo y","","","Tapa blanda","","","","","9789871140121","","https://www.goodreads.com/book/show/213108188-consorcios-de-exportaci-n","","","","","","","","0","05/14/2025","","","","","","","","Estante A"
